#	Country	Cases in the last 7 days	Cases in the preceding 7 days	Weekly case /%/ change	Cases in the last 7 days/1M pop	Deaths in the last 7 days	Deaths in the preceding 7 days	Weekly Death /%/ change	Deaths in the last 7 days/1M pop	Population	Continent
1	S. Korea	2,358,859	1,596,242	+48%	45,942	1,606	1,112	+44%	31	51,344,146	Asia
2	Germany	1,423,375	1,169,650	+22%	16,897	1,233	1,578	-22%	15	84,239,076	Europe
3	Vietnam	1,215,604	1,071,853	+13%	12,300	568	639	-11%	6	98,826,293	Asia
4	France	484,743	382,263	+27%	7,399	822	1,042	-21%	13	65,518,893	Europe
5	UK	466,292	331,863	+41%	6,808	736	729	+1%	11	68,491,825	Europe
6	Netherlands	429,098	439,760	-2%	24,949	101	54	+87%	6	17,199,283	Europe
7	Italy	378,460	279,370	+35%	6,275	976	1,201	-19%	16	60,310,783	Europe
8	Japan	370,351	428,216	-14%	2,944	1,213	1,416	-14%	10	125,818,680	Asia
9	Russia	331,525	586,025	-43%	2,270	4,301	5,155	-17%	29	146,040,773	Europe
10	Austria	300,420	220,322	+36%	33,036	190	230	-17%	21	9,093,698	Europe
11	Brazil	287,310	333,799	-14%	1,336	2,713	3,219	-16%	13	215,126,183	South America
12	Australia	227,752	193,084	+18%	8,759	152	252	-40%	6	26,002,413	Australia/Oceania
13	USA	216,610	285,768	-24%	648	6,642	8,561	-22%	20	334,300,023	North America
14	Hong Kong	209,212	313,961	-33%	27,527	1,990	1,588	+25%	262	7,600,302	Asia
15	Malaysia	191,182	212,363	-10%	5,781	610	557	+10%	18	33,070,305	Asia
16	Switzerland	176,978	162,530	+9%	20,198	30	106	-72%	3	8,762,139	Europe
17	Turkey	175,045	276,297	-37%	2,038	924	1,163	-21%	11	85,880,558	Asia
18	Thailand	159,897	154,453	+4%	2,281	479	393	+22%	7	70,097,534	Asia
19	Greece	146,748	99,296	+48%	14,197	383	389	-2%	37	10,336,560	Europe
20	New Zealand	135,087	145,443	-7%	27,006	35	14	+150%	7	5,002,100	Australia/Oceania
21	Indonesia	114,279	211,077	-46%	410	1,914	2,171	-12%	7	278,436,451	Asia
22	Chile	108,998	136,616	-20%	5,620	779	879	-11%	40	19,394,942	South America
23	Spain	100,466	123,489	-19%	2,147	557	976	-43%	12	46,785,545	Europe
24	Singapore	95,787	120,038	-20%	16,157	60	69	-13%	10	5,928,502	Asia
25	Poland	76,144	80,493	-5%	2,016	854	1,181	-28%	23	37,776,189	Europe
26	Finland	73,078	36,699	+99%	13,155	148	191	-23%	27	5,555,343	Europe
27	Denmark	72,515	102,622	-29%	12,445	284	299	-5%	49	5,826,855	Europe
28	Slovakia	63,408	64,603	-2%	11,604	229	220	+4%	42	5,464,135	Europe
29	Belgium	56,457	44,313	+27%	4,836	149	117	+27%	13	11,675,311	Europe
30	Czechia	54,097	54,445	-0.6%	5,036	197	260	-24%	18	10,742,734	Europe
31	Israel	47,776	43,506	+10%	5,123	77	104	-26%	8	9,326,000	Asia
32	Mexico	41,176	58,040	-29%	314	1,214	1,752	-31%	9	131,233,677	North America
33	Latvia	38,412	49,627	-23%	20,755	81	113	-28%	44	1,850,773	Europe
34	Canada	38,149	38,753	-2%	996	323	449	-28%	8	38,304,275	North America
35	Norway	37,497	68,830	-46%	6,826	0	89	-100%	0	5,493,251	Europe
36	Ukraine	33,189	37,196	-11%	767	530	610	-13%	12	43,287,399	Europe
37	Ireland	33,069	23,226	+42%	6,572	65	63	+3%	13	5,031,471	Europe
38	Argentina	31,793	45,186	-30%	693	394	644	-39%	9	45,900,252	South America
39	Lithuania	29,492	31,990	-8%	11,097	108	96	+13%	41	2,657,768	Europe
40	Iran	27,970	41,418	-32%	326	920	1,196	-23%	11	85,818,859	Asia
41	Portugal	27,389	79,250	-65%	2,699	37	162	-77%	4	10,146,199	Europe
42	Jordan	25,502	16,449	+55%	2,458	77	33	+133%	7	10,375,188	Asia
43	India	23,055	37,284	-38%	16	717	1,140	-37%	0.5	1,403,050,615	Asia
44	Romania	22,025	34,965	-37%	1,158	338	519	-35%	18	19,019,674	Europe
45	Cyprus	21,561	14,015	+54%	17,640	21	26	-19%	17	1,222,289	Asia
46	Brunei	19,906	29,256	-32%	44,773	20	24	-17%	45	444,595	Asia
47	Slovenia	15,356	12,475	+23%	7,385	44	56	-21%	21	2,079,423	Europe
48	Iceland	14,899	16,955	-12%	43,185	10	8	+25%	29	345,005	Europe
49	Serbia	14,705	16,576	-11%	1,695	131	208	-37%	15	8,677,580	Europe
50	Estonia	14,382	21,326	-33%	10,829	59	58	+2%	44	1,328,051	Europe
51	Guatemala	11,645	14,993	-22%	630	64	96	-33%	3	18,478,264	North America
52	Bulgaria	11,557	12,048	-4%	1,685	232	327	-29%	34	6,859,586	Europe
53	South Africa	10,267	10,865	-6%	169	102	195	-48%	2	60,578,717	Africa
54	Belarus	10,078	11,686	-14%	1,067	87	101	-14%	9	9,444,042	Europe
55	Croatia	9,705	9,058	+7%	2,389	123	149	-17%	30	4,062,258	Europe
56	Martinique	9,660	10,270	-6%	25,776	5	5	0%	13	374,771	North America
57	Uruguay	9,647	13,235	-27%	2,761	51	68	-25%	15	3,494,182	South America
58	Bahrain	9,258	13,095	-29%	5,138	3	6	-50%	2	1,801,907	Asia
59	China	8,984	1,994	+351%	6	0	0	0%	0	1,448,766,205	Asia
60	Georgia	8,626	16,746	-48%	2,169	155	231	-33%	39	3,976,158	Asia
61	Peru	8,549	10,218	-16%	253	367	508	-28%	11	33,751,895	South America
62	Réunion	8,514	8,019	+6%	9,396	9	14	-36%	10	906,166	Africa
63	Costa Rica	7,255	9,865	-26%	1,402	56	89	-37%	11	5,173,135	North America
64	Sweden	7,240	11,629	-38%	709	36	201	-82%	4	10,206,244	Europe
65	Hungary	7,077	17,704	-60%	736	158	444	-64%	16	9,618,677	Europe
66	Luxembourg	6,098	4,946	+23%	9,480	8	7	+14%	12	643,272	Europe
67	Ecuador	5,939	10,469	-43%	328	32	67	-52%	2	18,098,018	South America
68	Myanmar	5,890	10,783	-45%	107	20	22	-9%	0.4	55,029,436	Asia
69	Lebanon	5,465	9,685	-44%	807	50	65	-23%	7	6,773,518	Asia
70	Colombia	4,445	7,615	-42%	86	181	300	-40%	3	51,804,094	South America
71	Channel Islands	4,435	3,147	+41%	25,115	1	2	-50%	6	176,585	Europe
72	Pakistan	4,235	5,171	-18%	19	32	85	-62%	0.1	228,174,493	Asia
73	Iraq	4,127	6,000	-31%	99	33	77	-57%	0.8	41,754,655	Asia
74	Tunisia	4,067	7,625	-47%	338	76	165	-54%	6	12,028,676	Africa
75	Cuba	4,015	3,693	+9%	355	2	6	-67%	0.2	11,314,871	North America
76	Bhutan	3,875	2,423	+60%	4,930	0	1	-100%	0	786,039	Asia
77	Sri Lanka	3,785	4,516	-16%	176	76	95	-20%	4	21,565,778	Asia
78	Laos	2,858	1,584	+80%	383	10	10	0%	1	7,454,855	Asia
79	Egypt	2,599	7,681	-66%	25	33	134	-75%	0.3	105,611,495	Africa
80	Philippines	2,590	5,649	-54%	23	553	621	-11%	5	112,058,146	Asia
81	Moldova	2,582	3,610	-28%	643	59	70	-16%	15	4,018,035	Europe
82	Zimbabwe	2,566	3,472	-26%	168	16	5	+220%	1	15,230,365	Africa
83	Bolivia	2,546	2,029	+25%	213	6	31	-81%	0.5	11,943,446	South America
84	Honduras	2,487	1,981	+26%	244	30	34	-12%	3	10,172,115	North America
85	Trinidad and Tobago	2,429	2,819	-14%	1,726	23	35	-34%	16	1,407,187	North America
86	UAE	2,390	3,142	-24%	237	0	1	-100%	0	10,093,365	Asia
87	Kuwait	2,179	3,753	-42%	498	4	9	-56%	0.9	4,377,828	Asia
88	Guadeloupe	1,964	2,099	-6%	4,907	6	0	+600%	15	400,240	North America
89	French Polynesia	1,851	1,324	+40%	6,525	2	2	0%	7	283,667	Australia/Oceania
90	Bangladesh	1,794	3,772	-52%	11	16	51	-69%	0.1	167,476,391	Asia
91	Panama	1,793	2,459	-27%	405	21	29	-28%	5	4,430,110	North America
92	North Macedonia	1,789	2,368	-24%	859	58	70	-17%	28	2,083,229	Europe
93	Paraguay	1,674	2,425	-31%	230	58	102	-43%	8	7,281,345	South America
94	Libya	1,658	3,724	-55%	236	40	45	-11%	6	7,029,980	Africa
95	Venezuela	1,586	1,582	+0.3%	56	9	13	-31%	0.3	28,299,060	South America
96	Isle of Man	1,459	808	+81%	17,005	1	1	0%	12	85,797	Europe
97	Maldives	1,321	2,682	-51%	2,373	0	0	0%	0	556,709	Asia
98	Oman	1,316	3,269	-60%	247	1	5	-80%	0.2	5,327,051	Asia
99	Mauritius	1,288	1,288	0%	1,010	30	0	+3%	24	1,275,353	Africa
100	Cambodia	1,287	2,476	-48%	75	5	11	-55%	0.3	17,111,927	Asia
101	Solomon Islands	1,262	892	+41%	1,764	7	12	-42%	10	715,474	Australia/Oceania
102	Liechtenstein	1,220	1,190	+3%	31,842	0	1	-100%	0	38,314	Europe
103	Azerbaijan	1,205	3,255	-63%	117	80	109	-27%	8	10,294,416	Asia
104	Afghanistan	1,203	1,396	-14%	30	19	19	0%	0.5	40,416,563	Asia
105	Saudi Arabia	1,110	2,344	-53%	31	10	10	0%	0.3	35,734,581	Asia
106	Malta	1,065	769	+38%	2,401	7	5	+40%	16	443,541	Europe
107	Zambia	1,043	1,189	-12%	54	1	6	-83%	0.1	19,257,651	Africa
108	Tonga	1,013	704	+44%	9,403	2	0	+200%	19	107,730	Australia/Oceania
109	Palestine	980	2,865	-66%	185	29	66	-56%	5	5,302,711	Asia
110	Mongolia	958	1,626	-41%	284	1	6	-83%	0.3	3,367,939	Asia
111	New Caledonia	885	3,877	-77%	3,050	1	4	-75%	3	290,160	Australia/Oceania
112	Bosnia and Herzegovina	861	1,264	-32%	265	51	120	-58%	16	3,246,150	Europe
113	Barbados	854	991	-14%	2,966	3	7	-57%	10	287,973	North America
114	Qatar	797	1,272	-37%	284	6	1	+500%	2	2,807,805	Asia
115	Kazakhstan	712	1,298	-45%	37	13	29	-55%	0.7	19,158,177	Asia
116	Dominican Republic	659	1,217	-46%	60	3	2	+50%	0.3	11,032,690	North America
117	Montenegro	604	752	-20%	961	6	7	-14%	10	628,201	Europe
118	Armenia	535	1,385	-61%	180	27	74	-64%	9	2,972,652	Asia
119	Taiwan	480	389	+23%	20	0	0	0%	0	23,890,010	Asia
120	Morocco	460	645	-29%	12	17	35	-51%	0.5	37,653,636	Africa
121	Nepal	403	565	-29%	13	1	11	-91%	0.0	30,026,627	Asia
122	Saint Pierre Miquelon	382	85	+349%	66,481	0	0	0%	0	5,746	North America
123	Albania	374	635	-41%	130	3	11	-73%	1	2,872,459	Europe
124	CAR	329	95	+246%	66	0	0	0%	0	4,972,354	Africa
125	Curaçao	326	173	+88%	1,973	1	3	-67%	6	165,233	North America
126	Cook Islands	302	121	+150%	17,168	0	0	0%	0	17,591	Australia/Oceania
127	Monaco	296	160	+85%	7,453	1	0	+100%	25	39,715	Europe
128	Syria	291	476	-39%	16	16	23	-30%	0.9	18,222,247	Asia
129	French Guiana	289	198	+46%	927	0	3	-100%	0	311,821	South America
130	Uzbekistan	287	493	-42%	8	0	1	-100%	0	34,292,965	Asia
131	Dominica	281	140	+101%	3,887	1	4	-75%	14	72,290	North America
132	Gibraltar	276	229	+21%	8,196	0	0	0%	0	33,674	Europe
133	Vanuatu	257	42	+512%	805	0	0	0%	0	319,328	Australia/Oceania
134	Bermuda	246	182	+35%	3,975	2	0	+200%	32	61,887	North America
135	Ethiopia	244	277	-12%	2	9	14	-36%	0.1	119,796,872	Africa
136	Nigeria	224	207	+8%	1	0	0	0%	0	214,811,319	Africa
137	DRC	221	115	+92%	2	0	0	0%	0	94,181,358	Africa
138	Suriname	214	363	-41%	359	2	2	0%	3	595,561	South America
139	San Marino	203	154	+32%	5,961	0	0	0%	0	34,052	Europe
140	Jamaica	190	175	+9%	64	20	17	+18%	7	2,983,124	North America
141	Seychelles	156	202	-23%	1,570	0	0	0%	0	99,381	Africa
142	Algeria	155	313	-50%	3	10	18	-44%	0.2	45,195,539	Africa
143	Eswatini	147	140	+5%	125	1	1	0%	0.8	1,180,568	Africa
144	Belize	144	179	-20%	351	0	2	-100%	0	409,884	North America
145	Angola	127	83	+53%	4	0	0	0%	0	34,600,889	Africa
146	Caribbean Netherlands	125	21	+495%	4,693	0	0	0%	0	26,637	North America
147	Uganda	114	141	-19%	2	2	4	-50%	0.0	48,191,869	Africa
148	Tanzania	106	0	+10,600%	2	2	0	+200%	0.0	62,621,418	Africa
149	Ghana	103	767	-87%	3	3	0	+300%	0.1	32,174,072	Africa
150	Kyrgyzstan	100	131	-24%	15	6	10	-40%	0.9	6,706,976	Asia
151	Namibia	100	106	-6%	38	0	7	-100%	0	2,619,037	Africa
152	Burundi	96	51	+88%	8	0	0	0%	0	12,491,691	Africa
153	Kenya	89	137	-35%	2	6	2	+200%	0.1	55,781,934	Africa
154	Haiti	88	43	+105%	8	4	3	+33%	0.3	11,638,618	North America
155	Nicaragua	87	98	-11%	13	1	1	0%	0.1	6,758,421	North America
156	Andorra	84	545	-85%	1,084	0	1	-100%	0	77,475	Europe
157	Sudan	84	143	-41%	2	9	11	-18%	0.2	45,587,096	Africa
158	Guyana	81	130	-38%	102	2	3	-33%	3	793,000	South America
159	Madagascar	79	132	-40%	3	4	7	-43%	0.1	28,899,209	Africa
160	Greenland	70	78	-10%	1,229	0	2	-100%	0	56,937	North America
161	Aruba	64	48	+33%	595	0	1	-100%	0	107,536	North America
162	Malawi	63	105	-40%	3	5	4	+25%	0.3	19,968,907	Africa
163	Cayman Islands	60	0	+6,000%	895	0	0	0%	0	67,033	North America
164	Lesotho	59	104	-43%	27	0	1	-100%	0	2,171,097	Africa
165	Ivory Coast	55	78	-29%	2	1	2	-50%	0.0	27,486,942	Africa
166	Palau	50	63	-21%	2,741	0	0	0%	0	18,240	Australia/Oceania
167	Saint Lucia	48	96	-50%	259	1	6	-83%	5	185,053	North America
168	Rwanda	43	51	-16%	3	0	1	-100%	0	13,497,163	Africa
169	Mayotte	42	41	+2%	148	0	0	0%	0	283,988	Africa
170	South Sudan	42	47	-11%	4	1	0	+100%	0.1	11,416,628	Africa
171	Sint Maarten	40	20	+100%	915	0	0	0%	0	43,703	North America
172	Kiribati	38	60	-37%	310	0	2	-100%	0	122,561	Australia/Oceania
173	Mozambique	38	87	-56%	1	1	5	-80%	0.0	32,741,418	Africa
174	Senegal	36	73	-51%	2	2	2	0%	0.1	17,492,766	Africa
175	Fiji	33	56	-41%	36	0	0	0%	0	907,480	Australia/Oceania
176	Guinea-Bissau	33	16	+106%	16	1	1	0%	0.5	2,046,953	Africa
